"country","wave","visit","surveyt","surveyprd","zone","state","lga","ea","rururb","hhid","hhsize","nfdwater","nfdelec","nfdgas","nfdfwood","nfdchar","nfdkero","nfdliqd","nfdutil","nfdcloth","nfdfmtn","nfdrepar","nfddome","nfdpetro","nfddiesl","nfdfares","nfdtrans","nfdcomm","nfdrecre","nfdtbac","nfdrnthh","nfdinsur","fdsorby","fdmilby","fdmaizby","fdriceby","fdyamby","fdcasby","fdcereby","fdbrdby","fdtubby","fdpoulby","fdmeatby","fdfishby","fddairby","fdfatsby","fdfrutby","fdvegby","fdbeanby","fdswtby","fdbevby","fdalcby","fdrestby","fdothby","fdsorpr","fdmilpr","fdmaizpr","fdricepr","fdyampr","fdcaspr","fdcerepr","fdbrdpr","fdtubpr","fdpoulpr","fdmeatpr","fdfishpr","fddairpr","fdfatspr","fdfrutpr","fdvegpr","fdbeanpr","fdswtpr","fdbevpr","fdalcpr","fdothpr","edtexp","nfdfoth","totcons","hhweight"
"NGA",2,1,"LSMS-ISA2012",2012,4,1,115,670,1,10001,7,0,0,0,0,0,695.238071986607,0,0,7085.71428571429,5462.5849609375,17380.951171875,0,43452.3794642857,0,3724.48967633929,26071.4285714286,8690.4755859375,0,0,44225.12890625,500,0,0,0,8938.77566964286,5959.18359375,2234.69391741071,0,744.89794921875,1489.7958984375,18622.4486607143,7448.97935267857,4841.83649553571,2830.61216517857,1229.08164760045,5661.22446986607,4469.38783482143,3575.51032366071,2234.69391741071,5028.06114850725,2979.591796875,40298.9799107143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776.1904296875,277652.28125,10576.583984375
"NGA",2,1,"LSMS-ISA2012",2012,4,1,115,670,1,10002,8,0,0,0,0,0,4182.29150390625,0,0,5762.5,4600.59521484375,0,60833.33203125,12166.6669921875,0,6517.85693359375,7604.16650390625,6083.33349609375,2250,0,15909.939453125,0,0,0,0,6517.85693359375,3910.71435546875,1955.35717773438,0,325.892852783203,0,11732.142578125,1173.21423339844,13557.1433105469,1303.57141113281,2150.8928527832,3910.71417236328,3324.10722351074,5214.28564453125,2607.14282226563,2933.03567504883,1303.57141113281,16946.4284667969,0,0,0,0,0,0,0,0,0,11531.59375,0,0,0,0,0,0,0,0,0,0,0,0,14975,2020.83337402344,233304.171875,10576.583984375
"NGA",2,1,"LSMS-ISA2012",2012,4,1,115,670,1,10003,6,0,0,0,0,0,6083.33333333333,0,0,3966.66666666667,5851.58740234375,0,0,8111.111328125,0,2607.14290364583,4055.5556640625,0,0,0,18783.830078125,0,0,0,0,5214.28580729167,2607.14290364583,2607.14290364583,0,3128.5712890625,2607.14290364583,0,11297.6184895833,4953.57145182292,0,1738.09521484375,3563.09521484375,4736.3095703125,2346.42854817708,0,0,0,13035.7141113281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37333.33203125,5388.88916015625,150016.5625,10576.583984375
"NGA",2,1,"LSMS-ISA2012",2012,4,1,115,670,1,10004,5,0,0,0,0,0,4866.666796875,0,0,4280,5075.23779296875,0,0,7300,0,0,0,0,0,0,48000,0,0,0,0,5214.285546875,3128.571484375,4692.85703125,0,3754.285546875,3128.571484375,0,13557.1421875,5944.2857421875,0,2085.7142578125,2190,5683.571484375,3754.285546875,0,0,0,9385.71435546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17160,6866.6669921875,156067.859375,10576.583984375
"NGA",2,1,"LSMS-ISA2012",2012,4,1,115,670,1,10005,6,0,0,0,0,0,0,0,0,3883.33333333333,2787.5,0,0,24333.3333333333,0,0,26361.1119791667,0,1916.66662597656,0,12362.6220703125,1000,0,0,0,5214.28580729167,3476.1904296875,2172.61897786458,0,4345.23803710938,3476.1904296875,0,8255.95231119792,6952.380859375,6213.69026692708,3476.1904296875,3476.1904296875,5474.9999593099,2607.14290364583,521.428588867188,8647.02370198568,0,24767.8569335938,521.428588867188,0,0,0,0,0,0,0,0,0,0,0,0,0,869.047607421875,5938.49169921875,0,0,0,0,0,0,60833.33203125,1622.22216796875,231506.46875,10576.583984375
"NGA",2,1,"LSMS-ISA2012",2012,4,1,115,670,1,10006,1,0,0,0,0,0,6691.66650390625,0,0,7956.66662597656,11210.71484375,0,0,60833.33203125,0,104285.7109375,0,24333.333984375,0,0,120000,0,0,0,0,12514.2861328125,10428.5712890625,10428.5712890625,0,13035.7138671875,0,0,31285.71484375,16685.71484375,7821.4287109375,5214.28564453125,0,24507.1430664063,12514.2861328125,1825,4692.85693359375,0,102721.429199219,2607.14282226563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3216.66650390625,594810.3125,10576.583984375
"NGA",2,1,"LSMS-ISA2012",2012,4,1,115,670,1,10008,8,0,0,0,0,0,3041.66674804688,0,0,1625,2438.83935546875,0,0,15208.3330078125,3041.66674804688,3258.92846679688,0,380.208343505859,1500,0,6211.0107421875,0,0,0,0,3910.71435546875,3910.71435546875,1303.57141113281,0,2933.03570556641,0,0,5214.28576660156,9776.78540039063,5735.71423339844,3258.92852783203,3258.92852783203,2672.32144165039,5214.28564453125,2998.21432495117,6354.91077423096,0,14013.3931884766,195.535720825195,0,0,0,0,0,0,0,0,5114.01123046875,0,0,0,0,744.898010253906,2444.1962890625,3375.31903076172,0,0,0,0,0,36125,3933.33325195313,159193.734375,10576.583984375
"NGA",2,1,"LSMS-ISA2012",2012,4,1,115,670,1,10009,6,0,0,0,0,0,11152.77734375,0,0,21350,8598.8095703125,3041.66674804688,0,16222.22265625,0,2172.61897786458,7097.22200520833,4055.5556640625,13400,0,30000,16750,0,0,0,4345.23795572917,2780.95247395833,3476.1904296875,0,7213.09521484375,6083.33317057292,0,7386.90494791667,7995.23811848958,9298.8095703125,1738.09521484375,5214.28564453125,5822.619140625,4866.66666666667,304.166666666667,5561.90486653646,0,13035.7141927083,521.428588867188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10166.6669921875,25041.666015625,254693.859375,10576.583984375
"NGA",2,1,"LSMS-ISA2012",2012,4,1,115,670,1,10010,4,0,0,0,0,0,3345.83325195313,0,0,5250,5453.27392578125,0,0,46841.66796875,0,0,15208.3330078125,0,0,0,24232.302734375,2625,0,0,0,8473.2138671875,3910.71435546875,3910.71435546875,0,2607.14282226563,3258.92846679688,0,7821.4287109375,11732.1423339844,1564.28576660156,3910.71423339844,0,4236.60723876953,0,521.428588867188,3454.46438598633,0,62571.4267578125,651.785705566406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14775,304.166656494141,236660.578125,10576.583984375
"NGA",2,1,"LSMS-ISA2012",2012,4,1,104,1364,0,10011,6,0,0,0,0,0,1622.22216796875,0,0,1666.66666666667,2249.40478515625,0,0,0,0,3476.1904296875,0,0,0,0,2461.26733398438,0,0,0,0,5214.28580729167,0,0,0,434.523803710938,0,0,2172.61897786458,4345.23803710938,2172.61897786458,1825,2607.14282226563,2867.85715738932,3476.1904296875,3476.1904296875,3345.8332417806,0,1738.09521484375,260.714294433594,0,0,0,0,4345.23795572917,2852.50651041667,0,0,8690.4765625,0,0,0,0,0,0,434.523803710938,0,0,0,0,0,24450,1650,87834.8046875,11332.0537109375
