zone_x,state_x,lga_x,sector_x,ea_x,hhid,item_cd,item_desc,s5q1,tracked_obs_x,zone_y,state_y,lga_y,sector_y,ea_y,item_seq,s5q2,s5q3,s5q4,tracked_obs_y,_merge,obs_count,mismatch
4,1,115,1,670,10001,327,TV Set,2.0,0,4.0,1.0,115.0,1.0,670.0,1.0,1.0,15.0,800.0,0.0,both,3,1
4,1,115,1,670,10001,327,TV Set,2.0,0,4.0,1.0,115.0,1.0,670.0,2.0,1.0,15.0,5000.0,0.0,both,3,1
4,1,115,1,670,10001,327,TV Set,2.0,0,4.0,1.0,115.0,1.0,670.0,3.0,1.0,3.0,8000.0,0.0,both,3,1
4,1,115,1,670,10001,330,Satellite Dish,1.0,0,4.0,1.0,115.0,1.0,670.0,1.0,1.0,2.0,10000.0,0.0,both,2,1
4,1,115,1,670,10001,330,Satellite Dish,1.0,0,4.0,1.0,115.0,1.0,670.0,2.0,1.0,2.0,10000.0,0.0,both,2,1
4,1,115,1,670,10001,332,Mobile Phone,6.0,0,4.0,1.0,115.0,1.0,670.0,1.0,7.0,3.0,1000.0,0.0,both,12,1
4,1,115,1,670,10001,332,Mobile Phone,6.0,0,4.0,1.0,115.0,1.0,670.0,2.0,1.0,6.0,2000.0,0.0,both,12,1
4,1,115,1,670,10001,332,Mobile Phone,6.0,0,4.0,1.0,115.0,1.0,670.0,3.0,2.0,6.0,1500.0,0.0,both,12,1
4,1,115,1,670,10001,332,Mobile Phone,6.0,0,4.0,1.0,115.0,1.0,670.0,4.0,6.0,3.0,2500.0,0.0,both,12,1
4,1,115,1,670,10001,332,Mobile Phone,6.0,0,4.0,1.0,115.0,1.0,670.0,5.0,6.0,3.0,2500.0,0.0,both,12,1
4,1,115,1,670,10001,332,Mobile Phone,6.0,0,4.0,1.0,115.0,1.0,670.0,6.0,5.0,5.0,1000.0,0.0,both,12,1
4,1,115,1,670,10001,332,Mobile Phone,6.0,0,4.0,1.0,115.0,1.0,670.0,7.0,4.0,4.0,1000.0,0.0,both,12,1
4,1,115,1,670,10001,332,Mobile Phone,6.0,0,4.0,1.0,115.0,1.0,670.0,8.0,4.0,4.0,1000.0,0.0,both,12,1
4,1,115,1,670,10001,332,Mobile Phone,6.0,0,4.0,1.0,115.0,1.0,670.0,9.0,5.0,5.0,1000.0,0.0,both,12,1
4,1,115,1,670,10001,332,Mobile Phone,6.0,0,4.0,1.0,115.0,1.0,670.0,10.0,2.0,6.0,1500.0,0.0,both,12,1
4,1,115,1,670,10001,332,Mobile Phone,6.0,0,4.0,1.0,115.0,1.0,670.0,11.0,7.0,3.0,1000.0,0.0,both,12,1
4,1,115,1,670,10001,332,Mobile Phone,6.0,0,4.0,1.0,115.0,1.0,670.0,12.0,1.0,6.0,2000.0,0.0,both,12,1
4,1,115,1,670,10005,304,Mattress,3.0,0,4.0,1.0,115.0,1.0,670.0,1.0,1.0,8.0,6000.0,0.0,both,1,1
4,1,115,1,670,10005,305,Bed,3.0,0,4.0,1.0,115.0,1.0,670.0,1.0,1.0,4.0,7000.0,0.0,both,5,1
4,1,115,1,670,10005,305,Bed,3.0,0,4.0,1.0,115.0,1.0,670.0,2.0,1.0,6.0,6000.0,0.0,both,5,1
4,1,115,1,670,10005,305,Bed,3.0,0,4.0,1.0,115.0,1.0,670.0,3.0,1.0,10.0,8000.0,0.0,both,5,1
4,1,115,1,670,10005,305,Bed,3.0,0,4.0,1.0,115.0,1.0,670.0,4.0,1.0,5.0,7000.0,0.0,both,5,1
4,1,115,1,670,10005,305,Bed,3.0,0,4.0,1.0,115.0,1.0,670.0,5.0,1.0,5.0,5000.0,0.0,both,5,1
4,1,115,1,670,10005,306,Mat,2.0,0,4.0,1.0,115.0,1.0,670.0,1.0,1.0,9.0,5000.0,0.0,both,3,1
4,1,115,1,670,10005,306,Mat,2.0,0,4.0,1.0,115.0,1.0,670.0,2.0,2.0,3.0,500.0,0.0,both,3,1
4,1,115,1,670,10005,306,Mat,2.0,0,4.0,1.0,115.0,1.0,670.0,3.0,2.0,3.0,700.0,0.0,both,3,1
4,1,115,1,670,10005,310,Stove gas (table),2.0,0,,,,,,,,,,,left_only,1,1
4,1,115,1,670,10005,311,Stove (kerosene),1.0,0,4.0,1.0,115.0,1.0,670.0,1.0,2.0,10.0,1500.0,0.0,both,2,1
4,1,115,1,670,10005,311,Stove (kerosene),1.0,0,4.0,1.0,115.0,1.0,670.0,2.0,2.0,5.0,700.0,0.0,both,2,1
4,1,115,1,670,10005,321,Fan,4.0,0,4.0,1.0,115.0,1.0,670.0,1.0,2.0,3.0,2500.0,0.0,both,5,1
4,1,115,1,670,10005,321,Fan,4.0,0,4.0,1.0,115.0,1.0,670.0,2.0,1.0,4.0,22000.0,0.0,both,5,1
4,1,115,1,670,10005,321,Fan,4.0,0,4.0,1.0,115.0,1.0,670.0,3.0,1.0,2.0,15000.0,0.0,both,5,1
4,1,115,1,670,10005,321,Fan,4.0,0,4.0,1.0,115.0,1.0,670.0,4.0,1.0,4.0,1500.0,0.0,both,5,1
4,1,115,1,670,10005,321,Fan,4.0,0,4.0,1.0,115.0,1.0,670.0,5.0,1.0,5.0,1500.0,0.0,both,5,1
4,1,115,1,670,10005,322,Radio,1.0,0,4.0,1.0,115.0,1.0,670.0,1.0,1.0,7.0,3000.0,0.0,both,2,1
4,1,115,1,670,10005,322,Radio,1.0,0,4.0,1.0,115.0,1.0,670.0,2.0,3.0,2.0,2500.0,0.0,both,2,1
4,1,115,1,670,10005,326,Iron,1.0,0,4.0,1.0,115.0,1.0,670.0,1.0,1.0,6.0,1500.0,0.0,both,2,1
4,1,115,1,670,10005,326,Iron,1.0,0,4.0,1.0,115.0,1.0,670.0,2.0,1.0,6.0,1500.0,0.0,both,2,1
4,1,115,1,670,10005,327,TV Set,2.0,0,4.0,1.0,115.0,1.0,670.0,1.0,1.0,8.0,15000.0,0.0,both,1,1
4,1,115,1,670,10005,332,Mobile Phone,3.0,0,4.0,1.0,115.0,1.0,670.0,1.0,1.0,4.0,6500.0,0.0,both,2,1
4,1,115,1,670,10005,332,Mobile Phone,3.0,0,4.0,1.0,115.0,1.0,670.0,2.0,2.0,4.0,6500.0,0.0,both,2,1
4,1,104,2,1364,10014,303,Furniture (table),,0,4.0,1.0,104.0,2.0,1364.0,1.0,1.0,20.0,5000.0,0.0,both,1,1
4,1,104,2,1364,10014,304,Mattress,1.0,0,4.0,1.0,104.0,2.0,1364.0,1.0,1.0,17.0,7000.0,0.0,both,3,1
4,1,104,2,1364,10014,304,Mattress,1.0,0,4.0,1.0,104.0,2.0,1364.0,2.0,1.0,15.0,10000.0,0.0,both,3,1
4,1,104,2,1364,10014,304,Mattress,1.0,0,4.0,1.0,104.0,2.0,1364.0,3.0,1.0,16.0,9000.0,0.0,both,3,1
