"zone","state","lga","sector","ea","hhid","item_cd","item_seq","s5q2","s5q3","s5q4","tracked_obs"
4,1,115,1,670,10001,301,1,1,8,17500,0
4,1,115,1,670,10001,302,1,1,6,8000,0
4,1,115,1,670,10001,303,1,1,5,10000,0
4,1,115,1,670,10001,303,2,1,8,2000,0
4,1,115,1,670,10001,304,1,2,4,3000,0
4,1,115,1,670,10001,304,2,2,6,3000,0
4,1,115,1,670,10001,304,3,2,6,3000,0
4,1,115,1,670,10001,304,4,1,10,400,0
4,1,115,1,670,10001,304,5,1,10,3500,0
4,1,115,1,670,10001,305,1,1,10,7000,0
4,1,115,1,670,10001,305,2,1,6,3000,0
4,1,115,1,670,10001,305,3,1,10,6000,0
4,1,115,1,670,10001,305,4,1,6,5000,0
4,1,115,1,670,10001,308,1,2,5,15000,0
4,1,115,1,670,10001,311,1,2,12,800,0
4,1,115,1,670,10001,312,1,1,10,8000,0
4,1,115,1,670,10001,313,1,2,4,20000,0
4,1,115,1,670,10001,319,1,1,8,350000,0
4,1,115,1,670,10001,320,1,1,7,14000,0
4,1,115,1,670,10001,321,1,1,10,1000,0
4,1,115,1,670,10001,321,2,1,7,800,0
4,1,115,1,670,10001,322,1,1,3,1500,0
4,1,115,1,670,10001,324,1,1,4,3000,0
4,1,115,1,670,10001,326,1,2,8,1000,0
4,1,115,1,670,10001,327,1,1,15,800,0
4,1,115,1,670,10001,327,2,1,15,5000,0
4,1,115,1,670,10001,327,3,1,3,8000,0
4,1,115,1,670,10001,328,1,1,3,20000,0
4,1,115,1,670,10001,329,1,1,4,7000,0
4,1,115,1,670,10001,330,1,1,2,10000,0
4,1,115,1,670,10001,330,2,1,2,10000,0
4,1,115,1,670,10001,332,1,7,3,1000,0
4,1,115,1,670,10001,332,2,1,6,2000,0
4,1,115,1,670,10001,332,3,2,6,1500,0
4,1,115,1,670,10001,332,4,6,3,2500,0
4,1,115,1,670,10001,332,5,6,3,2500,0
4,1,115,1,670,10001,332,6,5,5,1000,0
4,1,115,1,670,10001,332,7,4,4,1000,0
4,1,115,1,670,10001,332,8,4,4,1000,0
4,1,115,1,670,10001,332,9,5,5,1000,0
4,1,115,1,670,10001,332,10,2,6,1500,0
4,1,115,1,670,10001,332,11,7,3,1000,0
4,1,115,1,670,10001,332,12,1,6,2000,0
4,1,115,1,670,10002,301,1,1,1,15000,0
4,1,115,1,670,10002,302,1,1,1,500,0
4,1,115,1,670,10002,303,1,1,1,4000,0
4,1,115,1,670,10002,303,2,1,2,1000,0
4,1,115,1,670,10002,304,1,1,4,4500,0
4,1,115,1,670,10002,304,2,1,3,5000,0
4,1,115,1,670,10002,304,3,1,2,5500,0
4,1,115,1,670,10002,305,1,1,4,7000,0
4,1,115,1,670,10002,305,2,1,2,6500,0
4,1,115,1,670,10002,305,3,1,3,6000,0
4,1,115,1,670,10002,306,1,2,1,500,0
4,1,115,1,670,10002,308,1,1,4,8000,0
4,1,115,1,670,10002,311,1,2,4,700,0
4,1,115,1,670,10002,313,1,1,3,18000,0
4,1,115,1,670,10002,319,1,2,2,600000,0
4,1,115,1,670,10002,319,2,1,1,900000,0
4,1,115,1,670,10002,320,1,1,5,5500,0
4,1,115,1,670,10002,321,1,1,3,800,0
4,1,115,1,670,10002,321,2,1,2,800,0
4,1,115,1,670,10002,321,3,1,3,800,0
4,1,115,1,670,10002,321,4,1,4,1500,0
4,1,115,1,670,10002,322,1,1,2,300,0
4,1,115,1,670,10002,326,1,1,4,850,0
4,1,115,1,670,10002,327,1,1,6,7500,0
4,1,115,1,670,10002,328,1,1,3,20000,0
4,1,115,1,670,10002,332,1,1,6,2000,0
4,1,115,1,670,10002,332,2,4,4,1500,0
4,1,115,1,670,10002,332,3,2,5,2000,0
4,1,115,1,670,10002,332,4,5,4,1500,0
4,1,115,1,670,10003,301,1,1,6,10000,0
4,1,115,1,670,10003,303,1,1,7,5000,0
4,1,115,1,670,10003,304,1,1,6,15000,0
4,1,115,1,670,10003,304,2,98,7,7000,0
4,1,115,1,670,10003,304,3,1,8,10000,0
4,1,115,1,670,10003,304,4,98,5,10000,0
4,1,115,1,670,10003,305,1,1,8,8000,0
4,1,115,1,670,10003,305,2,98,5,10000,0
4,1,115,1,670,10003,305,3,1,6,15000,0
4,1,115,1,670,10003,305,4,98,7,8000,0
4,1,115,1,670,10003,306,1,2,4,300,0
4,1,115,1,670,10003,311,1,2,5,1000,0
4,1,115,1,670,10003,312,1,1,7,15000,0
4,1,115,1,670,10003,319,1,1,2,800000,0
4,1,115,1,670,10003,320,1,1,4,30000,0
4,1,115,1,670,10003,321,1,1,8,2500,0
4,1,115,1,670,10003,321,2,1,9,2000,0
4,1,115,1,670,10003,322,1,1,3,1500,0
4,1,115,1,670,10003,326,1,1,5,1500,0
4,1,115,1,670,10003,327,1,1,10,20000,0
4,1,115,1,670,10003,329,1,1,5,5000,0
4,1,115,1,670,10003,330,1,1,7,10000,0
4,1,115,1,670,10003,332,1,1,4,7000,0
4,1,115,1,670,10003,334,1,1,8,700,0
4,1,115,1,670,10003,334,2,1,9,800,0
4,1,115,1,670,10003,334,3,1,7,600,0
4,1,115,1,670,10003,334,4,1,6,1000,0
4,1,115,1,670,10004,301,1,1,12,50000,0
4,1,115,1,670,10004,302,1,1,7,800,0
4,1,115,1,670,10004,303,1,1,8,7000,0
4,1,115,1,670,10004,303,2,1,7,7000,0
4,1,115,1,670,10004,304,1,1,9,10000,0
4,1,115,1,670,10004,304,2,1,10,15000,0
4,1,115,1,670,10004,304,3,1,12,8000,0
4,1,115,1,670,10004,305,1,1,10,10000,0
4,1,115,1,670,10004,305,2,1,8,2000,0
4,1,115,1,670,10004,305,3,1,9,7000,0
4,1,115,1,670,10004,311,1,1,3,1000,0
4,1,115,1,670,10004,312,1,1,10,20000,0
4,1,115,1,670,10004,319,1,1,18,400000,0
4,1,115,1,670,10004,320,1,1,8,30000,0
4,1,115,1,670,10004,321,1,1,7,3000,0
4,1,115,1,670,10004,322,1,1,2,1000,0
4,1,115,1,670,10004,326,1,1,10,2000,0
4,1,115,1,670,10004,327,1,1,12,15000,0
4,1,115,1,670,10004,332,1,1,4,3000,0
4,1,115,1,670,10005,301,1,1,5,40000,0
4,1,115,1,670,10005,302,1,1,4,15000,0
4,1,115,1,670,10005,304,1,1,8,6000,0
4,1,115,1,670,10005,305,1,1,4,7000,0
4,1,115,1,670,10005,305,2,1,6,6000,0
4,1,115,1,670,10005,305,3,1,10,8000,0
4,1,115,1,670,10005,305,4,1,5,7000,0
4,1,115,1,670,10005,305,5,1,5,5000,0
4,1,115,1,670,10005,306,1,1,9,5000,0
4,1,115,1,670,10005,306,2,2,3,500,0
4,1,115,1,670,10005,306,3,2,3,700,0
4,1,115,1,670,10005,308,1,2,8,12000,0
4,1,115,1,670,10005,311,1,2,10,1500,0
4,1,115,1,670,10005,311,2,2,5,700,0
4,1,115,1,670,10005,312,1,1,8,20000,0
4,1,115,1,670,10005,313,1,2,5,25000,0
4,1,115,1,670,10005,319,1,1,6,450000,0
4,1,115,1,670,10005,320,1,1,7,10000,0
4,1,115,1,670,10005,321,1,2,3,2500,0
4,1,115,1,670,10005,321,2,1,4,22000,0
4,1,115,1,670,10005,321,3,1,2,15000,0
4,1,115,1,670,10005,321,4,1,4,1500,0
4,1,115,1,670,10005,321,5,1,5,1500,0
4,1,115,1,670,10005,322,1,1,7,3000,0
4,1,115,1,670,10005,322,2,3,2,2500,0
4,1,115,1,670,10005,324,1,1,7,7500,0
4,1,115,1,670,10005,326,1,1,6,1500,0
4,1,115,1,670,10005,326,2,1,6,1500,0
4,1,115,1,670,10005,327,1,1,8,15000,0
4,1,115,1,670,10005,328,1,1,3,55000,0
4,1,115,1,670,10005,330,1,1,3,15000,0
4,1,115,1,670,10005,332,1,1,4,6500,0
4,1,115,1,670,10005,332,2,2,4,6500,0
4,1,115,1,670,10005,334,1,1,3,500,0
4,1,115,1,670,10006,301,1,1,2,25000,0
4,1,115,1,670,10006,302,1,1,2,12000,0
4,1,115,1,670,10006,303,1,1,2,10000,0
4,1,115,1,670,10006,304,1,1,5,10000,0
4,1,115,1,670,10006,305,1,1,5,8000,0
4,1,115,1,670,10006,306,1,1,2,500,0
4,1,115,1,670,10006,311,1,1,1,1000,0
4,1,115,1,670,10006,312,1,1,2,40000,0
4,1,115,1,670,10006,320,1,1,4,5000,0
4,1,115,1,670,10006,321,1,1,5,2000,0
4,1,115,1,670,10006,321,2,1,3,2000,0
4,1,115,1,670,10006,322,1,1,1,500,0
4,1,115,1,670,10006,324,1,1,3,4000,0
4,1,115,1,670,10006,326,1,1,1,2500,0
4,1,115,1,670,10006,327,1,1,5,10000,0
4,1,115,1,670,10006,328,1,1,2,45000,0
4,1,115,1,670,10006,329,1,1,5,4000,0
4,1,115,1,670,10006,330,1,1,3,10000,0
4,1,115,1,670,10006,332,1,1,2,5000,0
4,1,115,1,670,10008,301,1,1,8,50000,0
4,1,115,1,670,10008,302,1,1,8,8000,0
4,1,115,1,670,10008,303,1,1,8,5000,0
4,1,115,1,670,10008,304,1,2,17,7500,0
4,1,115,1,670,10008,304,2,2,17,7500,0
4,1,115,1,670,10008,304,3,1,18,7500,0
4,1,115,1,670,10008,304,4,1,17,7000,0
4,1,115,1,670,10008,305,1,2,17,5000,0
4,1,115,1,670,10008,305,2,2,17,5000,0
4,1,115,1,670,10008,305,3,1,18,5000,0
4,1,115,1,670,10008,305,4,1,17,5000,0
4,1,115,1,670,10008,311,1,2,4,1200,0
4,1,115,1,670,10008,311,2,2,3,1500,0
4,1,115,1,670,10008,313,1,1,5,35000,0
4,1,115,1,670,10008,319,1,1,5,350000,0
4,1,115,1,670,10008,320,1,1,2,7000,0
4,1,115,1,670,10008,320,2,1,2,20000,0
4,1,115,1,670,10008,320,3,1,12,25000,0
4,1,115,1,670,10008,321,1,1,4,2000,0
4,1,115,1,670,10008,321,2,1,4,2000,0
4,1,115,1,670,10008,321,3,1,5,2000,0
4,1,115,1,670,10008,321,4,1,4,2000,0
4,1,115,1,670,10008,321,5,1,4,2000,0
4,1,115,1,670,10008,321,6,1,5,2000,0
4,1,115,1,670,10008,324,1,1,0,10500,0
4,1,115,1,670,10008,326,1,1,4,1000,0
4,1,115,1,670,10008,326,2,1,2,1500,0
4,1,115,1,670,10008,327,1,1,0,60000,0
4,1,115,1,670,10008,327,2,1,7,8500,0
